,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
343,1,0,3.3,10,4,73,2149,200.0,193
344,1,0,3.4,6,4,73,1182,300.0,8242
345,1,0,3.8,53,31,73,1299,250.0,8242
346,1,0,3.7,67,48,24,1585,700.0,8242
347,1,0,2.9,23,31,83,1520,250.0,3202
348,1,0,3.4,19,1,73,2221,200.0,8242
349,1,0,3.6,24,1,73,1057,300.0,8242
350,1,0,4.0,232,31,73,2176,400.0,8242
351,1,0,3.9,221,31,24,700,700.0,8242
352,1,1,4.1,1063,31,25,1343,1200.0,8242
353,1,0,3.7,93,4,73,2278,200.0,8242
354,1,0,3.9,233,31,24,1364,800.0,8242
355,1,0,3.9,211,31,24,1139,500.0,8242
356,1,0,4.0,1778,31,73,1978,200.0,49
357,1,0,3.6,218,86,24,1760,800.0,8242
358,1,0,3.7,514,4,16,625,600.0,8242
359,1,1,4.0,866,31,24,1785,900.0,8242
360,1,0,3.2,96,48,73,1585,400.0,8242
361,1,0,3.5,80,1,73,2354,250.0,8242
362,1,0,4.0,73,4,0,250,300.0,4953
363,1,0,3.9,84,31,83,1531,400.0,8242
364,1,0,3.5,88,1,73,2227,350.0,8242
365,1,0,3.5,179,1,24,1669,600.0,8242
366,1,0,3.8,61,4,73,1378,100.0,8242
367,1,0,3.7,128,83,24,1682,450.0,8242
368,1,0,3.8,339,31,73,2224,400.0,1161
369,1,0,4.1,449,4,73,2278,100.0,8242
370,1,0,4.1,210,31,39,283,150.0,8242
371,1,0,3.7,57,4,73,1393,200.0,8242
372,1,0,3.0,213,1,73,1954,400.0,8242
373,1,0,3.2,208,31,14,2329,250.0,6682
374,1,0,3.8,70,1,73,2149,100.0,191
375,1,0,4.0,219,4,16,622,600.0,8242
376,1,0,3.7,59,1,73,1995,200.0,8242
377,1,0,3.1,10,1,73,1114,500.0,8242
378,1,0,3.0,9,48,73,1165,400.0,8242
379,1,0,3.7,124,48,24,411,750.0,8242
380,1,0,3.7,19,48,73,2149,100.0,160
381,1,0,3.3,4,4,73,1278,150.0,8242
382,1,0,3.3,4,48,37,1058,150.0,8242
383,1,0,3.8,21,4,37,1302,200.0,8242
384,1,0,3.4,8,1,74,2157,250.0,105
385,1,0,3.5,10,48,73,1760,400.0,8242
386,1,0,3.5,10,48,73,1585,400.0,6439
387,1,0,3.2,4,48,73,1548,200.0,8242
388,1,0,3.1,4,1,36,1585,350.0,4540
389,1,0,3.6,16,29,86,1269,500.0,8242
390,1,0,3.4,12,31,73,1187,300.0,8242
391,1,0,3.9,14,31,24,1935,600.0,6719
392,1,0,3.7,0,31,73,1750,300.0,1079
393,1,0,2.8,5,13,86,2180,199.0,8242
394,1,0,3.3,5,4,25,2227,800.0,8242
395,1,0,3.5,15,1,73,1952,250.0,8242
396,1,0,3.4,4,4,24,1819,500.0,8242
397,1,0,3.6,17,4,73,741,300.0,8242
398,1,0,3.3,6,1,73,2221,500.0,3050
399,1,0,3.4,10,1,73,2149,100.0,8242
400,1,1,4.1,775,1,24,1894,800.0,8242
401,1,1,4.2,2022,31,24,1935,1000.0,8242
402,1,1,4.2,150,1,16,629,600.0,2288
403,1,0,4.0,232,4,24,1649,750.0,8242
404,1,0,3.9,38,4,73,700,200.0,8242
405,1,1,3.5,431,31,24,1585,800.0,8242
406,1,1,4.2,2115,1,24,2043,800.0,8242
407,1,0,3.4,30,83,73,1122,200.0,8242
408,1,0,4.2,150,31,24,1585,800.0,2738
409,1,0,3.3,12,48,73,717,200.0,8242
410,1,0,3.8,155,31,24,2238,450.0,8242
411,1,0,3.7,33,4,73,1092,200.0,8242
412,1,1,4.1,666,31,25,59,1000.0,8242
413,1,0,3.9,240,4,16,475,700.0,8242
414,1,0,3.8,918,1,19,653,800.0,8242
415,1,0,4.0,465,31,24,2238,600.0,4478
416,1,1,4.1,970,31,65,1804,1500.0,8242
417,1,0,3.3,128,1,73,1649,300.0,8242
418,1,0,3.6,241,48,73,1649,300.0,8242
419,1,0,3.4,22,1,73,2149,200.0,8242
420,1,0,4.3,734,1,73,2238,200.0,5162
421,1,0,3.8,130,31,73,1623,400.0,8242
422,1,0,4.2,261,31,16,546,700.0,8242
423,1,0,4.0,191,48,73,2239,300.0,190
424,1,0,4.1,364,4,24,2192,550.0,204
425,1,0,3.8,133,1,73,1496,300.0,8242
426,1,0,3.9,888,1,24,1962,750.0,4468
427,1,0,3.1,13,1,16,532,400.0,8242
428,1,0,3.9,750,4,24,1760,500.0,5475
429,1,1,4.2,164,1,16,532,500.0,8242
430,1,0,3.2,6,1,36,2328,200.0,6168
431,1,0,3.8,527,4,24,1585,500.0,8242
432,0,0,4.3,345,1,37,1302,400.0,8242
433,0,0,4.4,356,1,83,1520,150.0,8242
434,1,0,3.7,17,1,37,1041,400.0,6516
435,1,0,3.9,38,1,37,1295,150.0,2977
436,0,0,3.7,78,1,3,222,150.0,8242
437,0,0,3.8,60,1,37,222,400.0,8242
438,1,0,4.0,115,1,83,1531,400.0,6863
439,0,0,3.8,39,1,0,230,300.0,8242
440,1,0,3.9,116,1,37,1305,400.0,4314
441,1,0,3.8,918,1,19,653,800.0,8242
442,0,0,3.7,46,1,84,1531,400.0,8242
443,1,0,3.9,41,1,37,1035,300.0,8242
444,1,0,3.8,144,1,16,720,700.0,8242
445,0,0,3.8,28,1,13,1383,150.0,8242
446,1,0,4.3,860,1,37,1058,500.0,8242
447,0,0,3.5,14,1,83,1531,200.0,8242
448,0,0,4.0,66,1,0,230,300.0,8242
449,1,0,3.2,8,1,83,1531,100.0,658
450,1,0,3.7,54,1,13,1046,400.0,8242
451,0,0,3.5,7,1,37,1035,500.0,8242
452,0,0,3.2,9,1,37,1295,300.0,8242
453,0,0,3.6,42,1,14,308,300.0,8242
454,0,0,3.8,64,1,73,1099,250.0,8242
455,1,0,3.6,14,1,0,230,350.0,7363
456,0,0,3.8,45,1,86,222,400.0,8242
457,0,0,3.2,11,1,16,496,600.0,8242
458,0,0,3.5,13,1,0,230,300.0,8242
459,0,0,3.4,7,1,37,1302,150.0,8242
460,0,0,3.4,8,1,0,230,400.0,8242
461,0,0,2.9,25,1,37,1302,200.0,8242
462,0,0,3.2,17,1,37,1058,150.0,8242
463,1,0,3.9,35,1,36,230,500.0,2641
464,1,0,3.9,70,1,37,1147,400.0,8242
465,0,0,4.0,98,4,84,1534,400.0,8242
466,0,0,3.7,25,4,37,1302,250.0,8242
467,1,0,4.0,219,4,16,622,600.0,7877
